run_times,tag,avg_time,std_time
0.016290903091430664,medium_data_lag_1_max_lag_5,0.01596040725708008,0.0006099212515400023
0.015719175338745117,medium_data_lag_1_max_lag_5,0.01596040725708008,0.0006099212515400023
0.01616811752319336,medium_data_lag_1_max_lag_5,0.01596040725708008,0.0006099212515400023
0.017073869705200195,medium_data_lag_1_max_lag_5,0.01596040725708008,0.0006099212515400023
0.016562938690185547,medium_data_lag_1_max_lag_5,0.01596040725708008,0.0006099212515400023
0.015883922576904297,medium_data_lag_1_max_lag_5,0.01596040725708008,0.0006099212515400023
0.014973163604736328,medium_data_lag_1_max_lag_5,0.01596040725708008,0.0006099212515400023
0.015289783477783203,medium_data_lag_1_max_lag_5,0.01596040725708008,0.0006099212515400023
0.016002178192138672,medium_data_lag_1_max_lag_5,0.01596040725708008,0.0006099212515400023
0.0156400203704834,medium_data_lag_1_max_lag_5,0.01596040725708008,0.0006099212515400023
